cld,cld_360smth,cld_anm360,cld_21smth,cld_anm21,CRF,CRF_21smth,CRF_21anm
61.45810,-999.00000,-999.00000,58.99238,2.46572,-3.34760,-3.38854,0.04094
61.83620,-999.00000,-999.00000,58.80136,3.03484,-3.48831,-3.36514,-0.12316
60.44170,-999.00000,-999.00000,58.61702,1.82468,-3.36518,-3.34306,-0.02212
59.10060,-999.00000,-999.00000,58.46483,0.63577,-3.52583,-3.30392,-0.22191
57.10270,-999.00000,-999.00000,58.23025,-1.12755,-3.63612,-3.28091,-0.35521
58.30390,-999.00000,-999.00000,57.99827,0.30563,-3.44684,-3.26014,-0.18670
58.29720,-999.00000,-999.00000,58.02454,0.27266,-3.64966,-3.23147,-0.41818
58.15720,-999.00000,-999.00000,58.07440,0.08280,-3.42723,-3.20267,-0.22456
58.58030,-999.00000,-999.00000,58.09997,0.48033,-3.17605,-3.18604,0.00999
59.22470,-999.00000,-999.00000,58.10444,1.12026,-3.26711,-3.17985,-0.08726
60.54280,-999.00000,-999.00000,57.99438,2.54842,-3.85705,-3.15057,-0.70648
53.32430,-999.00000,-999.00000,58.00578,-4.68148,-3.49371,-3.12457,-0.36914
54.09200,-999.00000,-999.00000,58.11072,-4.01872,-3.33061,-3.07635,-0.25426
54.63080,-999.00000,-999.00000,58.26357,-3.63277,-3.01682,-3.03289,0.01607
55.44490,-999.00000,-999.00000,58.46548,-3.02058,-3.07741,-2.99099,-0.08642
54.59240,-999.00000,-999.00000,58.56892,-3.97652,-2.89097,-2.95452,0.06355
54.99690,-999.00000,-999.00000,58.64391,-3.64701,-2.46824,-2.92582,0.45758
59.84060,-999.00000,-999.00000,58.70074,1.13986,-2.33612,-2.87514,0.53902
60.58560,-999.00000,-999.00000,58.73830,1.84730,-2.32326,-2.88228,0.55902
59.78250,-999.00000,-999.00000,58.80233,0.98017,-2.43435,-2.94174,0.50739
59.85780,-999.00000,-999.00000,58.78310,1.07470,-2.60356,-2.99271,0.38915
59.14680,-999.00000,-999.00000,59.08164,0.06516,-2.80153,-2.99305,0.19152
62.07570,-999.00000,-999.00000,59.35694,2.71876,-2.47579,-2.99033,0.51454
